###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-05 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
7.657215, 3.950998, 0.018193, 0.000039
7.675428, 3.976082, 0.018213, 0.000039
7.693665, 4.001299, 0.018237, 0.000039
7.711930, 4.026648, 0.018265, 0.000040
7.730226, 4.052129, 0.018296, 0.000040
7.748559, 4.077743, 0.018332, 0.000040
7.766931, 4.103489, 0.018372, 0.000040
7.785347, 4.129368, 0.018416, 0.000040
7.803812, 4.155381, 0.018465, 0.000041
7.822329, 4.181527, 0.018517, 0.000041
7.840904, 4.207807, 0.018574, 0.000041
7.859540, 4.234221, 0.018636, 0.000041
7.878241, 4.260770, 0.018702, 0.000041
7.897014, 4.287454, 0.018772, 0.000042
7.915861, 4.314274, 0.018847, 0.000042
7.934788, 4.341230, 0.018927, 0.000042
7.953799, 4.368322, 0.019011, 0.000042
7.972900, 4.395550, 0.019101, 0.000042
7.992095, 4.422915, 0.019195, 0.000043
8.011389, 4.450416, 0.019294, 0.000043
8.030787, 4.478055, 0.019398, 0.000043
8.050295, 4.505830, 0.019508, 0.000043
8.069919, 4.533743, 0.019623, 0.000044
8.089663, 4.561792, 0.019744, 0.000044
8.109533, 4.589978, 0.019871, 0.000044
8.129537, 4.618301, 0.020003, 0.000044
8.149679, 4.646761, 0.020142, 0.000044
8.169965, 4.675356, 0.020287, 0.000045
8.190404, 4.704087, 0.020439, 0.000045
8.211001, 4.732954, 0.020597, 0.000045
8.231764, 4.761955, 0.020763, 0.000045
8.252700, 4.791090, 0.020936, 0.000045
8.273816, 4.820359, 0.021117, 0.000046
8.295122, 4.849759, 0.021306, 0.000046
8.316625, 4.879291, 0.021503, 0.000046
8.338334, 4.908953, 0.021709, 0.000046
8.360260, 4.938743, 0.021925, 0.000046
8.382410, 4.968661, 0.022151, 0.000047
8.404797, 4.998704, 0.022387, 0.000047
8.427430, 5.028872, 0.022634, 0.000047
8.450322, 5.059160, 0.022892, 0.000047
8.473485, 5.089568, 0.023163, 0.000047
8.496931, 5.120094, 0.023446, 0.000048
8.520675, 5.150733, 0.023744, 0.000048
8.544732, 5.181483, 0.024056, 0.000048
8.569116, 5.212340, 0.024384, 0.000048
8.593845, 5.243302, 0.024729, 0.000048
8.618938, 5.274362, 0.025092, 0.000049
8.644412, 5.305518, 0.025475, 0.000049
8.670291, 5.336764, 0.025878, 0.000049
8.696595, 5.368093, 0.026304, 0.000049
8.723350, 5.399501, 0.026755, 0.000049
8.750581, 5.430979, 0.027232, 0.000049
8.778319, 5.462520, 0.027738, 0.000049
8.806595, 5.494115, 0.028276, 0.000049
8.835444, 5.525754, 0.028849, 0.000049
8.864904, 5.557428, 0.029460, 0.000050
8.895017, 5.589122, 0.030113, 0.000050
8.925830, 5.620824, 0.030813, 0.000050
8.957396, 5.652517, 0.031566, 0.000050
8.989773, 5.684185, 0.032377, 0.000050
9.023028, 5.715807, 0.033255, 0.000049
9.057235, 5.747360, 0.034207, 0.000049
9.092479, 5.778817, 0.035245, 0.000049
9.128860, 5.810148, 0.036380, 0.000049
9.166489, 5.841316, 0.037629, 0.000049
9.205500, 5.872280, 0.039011, 0.000049
9.246049, 5.902990, 0.040549, 0.000048
9.288322, 5.933386, 0.042273, 0.000048
9.332545, 5.963396, 0.044223, 0.000047
9.378994, 5.992932, 0.046449, 0.000046
9.428015, 6.021884, 0.049021, 0.000046
9.480049, 6.050114, 0.052034, 0.000044
9.535676, 6.077443, 0.055626, 0.000043
9.595678, 6.103634, 0.060002, 0.000041
9.661164, 6.128361, 0.065486, 0.000039
9.733797, 6.151161, 0.072633, 0.000036
9.816287, 6.171333, 0.082490, 0.000032
9.913703, 6.187728, 0.097416, 0.000027
10.038459, 6.198196, 0.124756, 0.000018
10.310320, 6.197519, 0.271861, 0.000001
10.507553, 6.155385, 0.197233, -0.000062
10.642202, 6.115189, 0.134649, -0.000061
10.756267, 6.075687, 0.114066, -0.000061
10.859961, 6.036656, 0.103694, -0.000060
10.957996, 5.998019, 0.098035, -0.000060
11.053284, 5.959744, 0.095288, -0.000060
11.148087, 5.921820, 0.094802, -0.000059
11.243224, 5.884904, 0.095137, -0.000058
11.339443, 5.849735, 0.096219, -0.000055
11.437946, 5.816974, 0.098503, -0.000052
11.540584, 5.787321, 0.102637, -0.000047
11.650378, 5.761699, 0.109794, -0.000041
11.773076, 5.741599, 0.122698, -0.000033
11.923995, 5.730015, 0.150919, -0.000020
12.172207, 5.735537, 0.248212, 0.000005
12.322570, 5.774938, 0.150363, 0.000057
12.421230, 5.813035, 0.098660, 0.000057
12.500565, 5.850948, 0.079335, 0.000058
12.568902, 5.888898, 0.068337, 0.000058
12.629930, 5.926967, 0.061028, 0.000059
12.685670, 5.965197, 0.055740, 0.000059
12.737371, 6.003613, 0.051701, 0.000059
12.785870, 6.042231, 0.048498, 0.000060
12.831757, 6.081061, 0.045887, 0.000060
12.875470, 6.120111, 0.043713, 0.000061
12.917342, 6.159388, 0.041872, 0.000061
12.957635, 6.198896, 0.040293, 0.000061
12.996558, 6.238641, 0.038923, 0.000062
13.034281, 6.278625, 0.037723, 0.000062
13.070946, 6.318852, 0.036665, 0.000062
13.106673, 6.359325, 0.035726, 0.000063
13.141561, 6.400047, 0.034888, 0.000063
13.175698, 6.441020, 0.034137, 0.000064
13.209159, 6.482247, 0.033461, 0.000064
13.242010, 6.523730, 0.032851, 0.000064
13.274309, 6.565471, 0.032299, 0.000065
13.306108, 6.607473, 0.031798, 0.000065
13.337452, 6.649738, 0.031344, 0.000066
13.368382, 6.692267, 0.030931, 0.000066
13.398937, 6.735062, 0.030555, 0.000067
13.429149, 6.778126, 0.030213, 0.000067
13.459051, 6.821461, 0.029902, 0.000067
13.488671, 6.865069, 0.029619, 0.000068
13.518034, 6.908950, 0.029363, 0.000068
13.547166, 6.953109, 0.029132, 0.000069
13.576089, 6.997545, 0.028923, 0.000069
13.604823, 7.042262, 0.028735, 0.000070
13.633390, 7.087261, 0.028567, 0.000070
13.661808, 7.132545, 0.028418, 0.000071
13.690094, 7.178114, 0.028286, 0.000071
13.718265, 7.223971, 0.028171, 0.000071
13.746338, 7.270118, 0.028073, 0.000072
13.774328, 7.316556, 0.027990, 0.000072
13.802249, 7.363289, 0.027921, 0.000073
13.830116, 7.410317, 0.027867, 0.000073
13.857943, 7.457642, 0.027827, 0.000074
13.885743, 7.505267, 0.027800, 0.000074
13.913529, 7.553193, 0.027786, 0.000075
13.941315, 7.601422, 0.027785, 0.000075
13.969102, 7.649936, 0.027788, 0.000076
13.996897, 7.698718, 0.027794, 0.000076
14.024704, 7.747756, 0.027807, 0.000076
14.052531, 7.797041, 0.027827, 0.000077
14.080386, 7.846563, 0.027855, 0.000077
14.108278, 7.896317, 0.027892, 0.000078
14.136217, 7.946300, 0.027939, 0.000078
14.164212, 7.996506, 0.027995, 0.000078
14.192275, 8.046934, 0.028062, 0.000079
14.220415, 8.097581, 0.028140, 0.000079
14.248644, 8.148445, 0.028229, 0.000079
14.276974, 8.199526, 0.028330, 0.000080
14.305416, 8.250821, 0.028442, 0.000080
14.333982, 8.302330, 0.028566, 0.000080
14.362685, 8.354052, 0.028703, 0.000081
14.391536, 8.405985, 0.028852, 0.000081
14.420550, 8.458127, 0.029014, 0.000081
14.449740, 8.510479, 0.029189, 0.000082
14.479118, 8.563037, 0.029379, 0.000082
14.508701, 8.615801, 0.029582, 0.000082
14.538501, 8.668768, 0.029800, 0.000083
14.568535, 8.721936, 0.030034, 0.000083
14.598819, 8.775301, 0.030284, 0.000083
14.629368, 8.828862, 0.030550, 0.000084
14.660202, 8.882615, 0.030833, 0.000084
14.691337, 8.936556, 0.031135, 0.000084
14.722793, 8.990680, 0.031456, 0.000084
14.754590, 9.044983, 0.031797, 0.000085
14.786749, 9.099460, 0.032160, 0.000085
14.819294, 9.154104, 0.032545, 0.000085
14.852249, 9.208910, 0.032954, 0.000086
14.885638, 9.263869, 0.033389, 0.000086
14.919490, 9.318974, 0.033852, 0.000086
14.953833, 9.374216, 0.034344, 0.000086
14.988701, 9.429585, 0.034867, 0.000086
15.024125, 9.485069, 0.035425, 0.000087
15.060144, 9.540658, 0.036019, 0.000087
15.096797, 9.596337, 0.036653, 0.000087
15.134129, 9.652091, 0.037331, 0.000087
15.172185, 9.707903, 0.038057, 0.000087
15.211019, 9.763756, 0.038834, 0.000087
15.250688, 9.819627, 0.039669, 0.000087
15.291255, 9.875495, 0.040567, 0.000087
15.332790, 9.931333, 0.041535, 0.000087
15.375371, 9.987113, 0.042582, 0.000087
15.419087, 10.042800, 0.043716, 0.000087
15.464036, 10.098359, 0.044949, 0.000087
15.510329, 10.153746, 0.046293, 0.000087
15.558093, 10.208916, 0.047765, 0.000086
15.607475, 10.263811, 0.049382, 0.000086
15.658643, 10.318371, 0.051168, 0.000086
15.711793, 10.372522, 0.053150, 0.000085
15.767155, 10.426180, 0.055362, 0.000084
15.825002, 10.479246, 0.057847, 0.000083
15.885661, 10.531606, 0.060659, 0.000082
15.949530, 10.583121, 0.063869, 0.000081
16.017098, 10.633630, 0.067568, 0.000079
16.088978, 10.682933, 0.071880, 0.000078
16.165952, 10.730793, 0.076974, 0.000075
16.249038, 10.776917, 0.083087, 0.000073
16.339602, 10.820943, 0.090564, 0.000070
16.439528, 10.862425, 0.099925, 0.000066
16.551515, 10.900811, 0.111988, 0.000061
16.679610, 10.935442, 0.128095, 0.000055
16.830168, 10.965607, 0.150558, 0.000049
17.013518, 10.990847, 0.183351, 0.000041
17.245025, 11.012226, 0.231507, 0.000034
17.532120, 11.037233, 0.287095, 0.000037
17.841151, 11.090929, 0.309031, 0.000076
18.066794, 11.166217, 0.225644, 0.000110
18.222835, 11.240020, 0.156041, 0.000111
18.346831, 11.313514, 0.123995, 0.000112
18.451896, 11.387060, 0.105065, 0.000113
18.544299, 11.460814, 0.092404, 0.000113
18.627571, 11.534861, 0.083272, 0.000114
18.703914, 11.609251, 0.076343, 0.000115
18.774805, 11.684017, 0.070891, 0.000116
18.841286, 11.759183, 0.066482, 0.000116
18.904125, 11.834766, 0.062839, 0.000117
18.963904, 11.910780, 0.059779, 0.000118
19.021075, 11.987236, 0.057172, 0.000119
19.076001, 12.064142, 0.054926, 0.000119
19.128974, 12.141507, 0.052973, 0.000120
19.180235, 12.219339, 0.051261, 0.000121
19.229986, 12.297642, 0.049751, 0.000122
19.278398, 12.376423, 0.048411, 0.000122
19.325615, 12.455687, 0.047217, 0.000123
19.371763, 12.535439, 0.046149, 0.000124
19.416953, 12.615684, 0.045189, 0.000125
19.461279, 12.696426, 0.044326, 0.000126
19.504827, 12.777669, 0.043548, 0.000126
19.547672, 12.859418, 0.042845, 0.000127
19.589882, 12.941677, 0.042210, 0.000128
19.631519, 13.024450, 0.041636, 0.000129
19.672637, 13.107741, 0.041118, 0.000130
19.713287, 13.191553, 0.040650, 0.000130
19.753515, 13.275891, 0.040228, 0.000131
19.793364, 13.360759, 0.039849, 0.000132
19.832873, 13.446159, 0.039510, 0.000133
19.872080, 13.532096, 0.039207, 0.000134
19.911018, 13.618574, 0.038938, 0.000135
19.949721, 13.705596, 0.038702, 0.000136
19.988218, 13.793165, 0.038497, 0.000136
20.026539, 13.881287, 0.038321, 0.000137
